bn:00000086n	day
bn:00105464a	islamic
bn:00048214n	jihadism
bn:00082281v	learn
bn:00106070a	live
bn:00001082n	terrorism
bn:00015626n	Damascus
bn:00009252n	Beirut
bn:00099735a	civilized
bn:00022991n	world
bn:00009078n	fight
bn:00004222n	animals
bn:00087441v	live
bn:00001082n	terrorism
bn:00082138v	tolerate
bn:00007299n	government
bn:00082697v	appeasing
bn:00055975n	Muslims
bn:00022154n	message
bn:00086868v	send
bn:00018346n	children
bn:00086448v	defeat
bn:00001082n	terrorism
bn:00116599r	physically
bn:00115369r	financially
bn:00115722r	ideologically
bn:03090223n	Erdogan
bn:00101148a	democratic
bn:00442789n	democratic Islam
bn:00047600n	Islam
bn:00005704n	weapon
bn:00085873v	undermine
bn:00101658a	doctrinal
bn:00019002n	doctrinal basis
bn:00008870n	basis
bn:00112017a	totalitarian
bn:00080332n	Wahhabi
bn:00002369n	Qaeda
bn:00075958n	Taliban
